airline_sentiment,airline,text,hour_of_day,am_or_pm,day_of_week,weekend,tweet_length
negative,Delta,@JetBlue maybe announce the delay so we don't sit on the plane on the runway for an hour+ before taking off,14,PM,Friday,Weekday,Long
positive,Delta,@JetBlue Please come to Indianapolis!,14,PM,Friday,Weekday,Short
negative,Delta,@JetBlue flight 691 from bos to Tampa takeoff 40 min Late Flight,14,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue When will you release November flights for Flight Booking Problems?,14,PM,Friday,Weekday,Short
negative,Delta,".@JetBlue Ah grasshopper, your twitterz kung fu no good.  Hire geeks. http://t.co/8MWItRi9kF",14,PM,Friday,Weekday,Short
negative,Delta,@JetBlue Did you discontinue nonstop service from SJC to BOS? Can't find 471 or 472 anywhere,14,PM,Friday,Weekday,Short
negative,Delta,@JetBlue Noooo!! Why is our previously direct flight from FLL&gt;SFO diverted to LAS? Now arriving almost 2 hrs Late Flightr. 👎,14,PM,Friday,Weekday,Long
negative,Delta,Well lets see.  You could pay for my Negroni with bitcoin. @JetBlue,14,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue do you know when the schedule for dec 2015 will be released?,14,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue do you have direct flights to and from Bos to St Lucia or Antigua?,14,PM,Friday,Weekday,Short
positive,Delta,@JetBlue okay thanks. Hope to be flying with you guys soon!,13,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue do you have any afternoon flights going from BQN to JFK? I only seem to find early morning flights.,13,PM,Friday,Weekday,Long
neutral,Delta,@JetBlue I'm flying your airline just out of #LGA 😷,13,PM,Friday,Weekday,Short
positive,Delta,@JetBlue he loved the #natural #beefjerky snacks😉,13,PM,Friday,Weekday,Short
positive,Delta,@JetBlue thanks for your reply. It was flight 1572.,13,PM,Friday,Weekday,Short
positive,Delta,@JetBlue who is he I must send a note!!! Too good for words!,13,PM,Friday,Weekday,Short
neutral,Delta,"@jetblue captain ""takes as lot of muscles to frown but JUST A FEW TO SMILE. Y'all ready to go flyin?"" I mean... Now I am!",13,PM,Friday,Weekday,Long
negative,Delta,@JetBlue can't seem to DM you guys.. JDHADP,13,PM,Friday,Weekday,Short
positive,Delta,@JetBlue - loving Capt Joe on our flight from BOS to SFO #633. This should be fun!,13,PM,Friday,Weekday,Short
negative,Delta,@JetBlue Two delays.  A little proactive communication goes a long way. #howhardcanthatreallybe?,13,PM,Friday,Weekday,Short
negative,Delta,@JetBlue - worst view for an athlete; watching your team from the front seat of the chase van #nogearnotraining,13,PM,Friday,Weekday,Long
positive,Delta,@JetBlue It was fabulous! Very pleased.,13,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue I'll take 3 round trip tickets to the closest warmest place please! #negativedegrees #buffalo #snowwillnevermelt,12,PM,Friday,Weekday,Long
neutral,Delta,@JetBlue you know it!!,12,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue @hanneslohmann cool,12,PM,Friday,Weekday,Short
positive,Delta,@JetBlue u the real MVP http://t.co/jWL26G6lRw,12,PM,Friday,Weekday,Short
positive,Delta,@JetBlue No worries. Time flew in the terminal and now we're taking off. Thanks again!,12,PM,Friday,Weekday,Short
positive,Delta,"@JetBlue messaged you, thanks",12,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue will I be compensated for delays or Cancelled Flightlation?,12,PM,Friday,Weekday,Short
positive,Delta,@JetBlue I will. Thank you!,12,PM,Friday,Weekday,Short
neutral,Delta,@JetBlue dang. Pandora? Does it look like it may get pushed back more or is this likely it?,12,PM,Friday,Weekday,Short
negative,Delta,"@JetBlue poor storm customer service, 1hr takeoff delay waiting for the snack cart, rude steward (no names) and I love you guys. #TrueBlue",11,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue saving my sanity. Leaving it behind for sunshine. #escape #FL #bliss #travel #InDenial #WhatFrozenPipes http://t.co/6TtzEJV3hY,11,AM,Friday,Weekday,Long
negative,Delta,"@JetBlue before departure, while people who are delayed get up to $200 to compensate their time..",11,AM,Friday,Weekday,Short
negative,Delta,"@JetBlue No, it is one I'm trying to make, but it is probably too Late Flight. I did not see an email that I could call. Pittsburgh International.",11,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue I have more flights that I'd love to redeem for some points but they're a little over a year old. Is there a historical limit?,11,AM,Friday,Weekday,Long
negative,Delta,@JetBlue has the worst customer service out of any airline company. #dontflythem,11,AM,Friday,Weekday,Short
negative,Delta,@JetBlue what's up with the random delay on flight 1729? Any chance of it being a false alarm?,11,AM,Friday,Weekday,Short
negative,Delta,"@JetBlue I lost a day at the airport and off my trip, I should be compensated for the inconvenience!!!!!",11,AM,Friday,Weekday,Long
positive,Delta,@JetBlue Thanks for the reminder of a few older flights I'd taken and the easy access to add points to my new JB account! Awesome service.,11,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue can I switch my seat for my trip on Sunday?,11,AM,Friday,Weekday,Short
positive,Delta,@JetBlue @AmericanAir ah ha! I misread the end date as being 2014 not 2015. Thanks for clarifying :),11,AM,Friday,Weekday,Short
negative,Delta,@JetBlue what is the reason for the delay,11,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue where do I add my AA loyalty number to my Jetblue reservation?,11,AM,Friday,Weekday,Short
positive,Delta,@JetBlue I'll see you on board again soon!,11,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue is flt 1202 delayed?,11,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue #AfterAll indeed! https://t.co/swWhYhEn76 #LoveSongFriday #Cheesy #80sweresomuchfun #BrandLoveAffair,11,AM,Friday,Weekday,Long
positive,Delta,@JetBlue heading to Buffalo... trading the cold in Boston for colder in Buffalo... Maybe the Caribbean next time?,11,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue and @WSJ team up offering in-flight access to journal content http://t.co/PTsbkA4cDJ,11,AM,Friday,Weekday,Short
positive,Delta,@JetBlue Of course U know I would like 2 lay you down in a #BedofRoses as long as they're #mint colored! https://t.co/3QYEzHjGsb #brandmance,10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Now ur asking for the heavy guns! You know #IWouldDoAnythingForLove https://t.co/Yx1DQJn8nL #BrandMance #LoveSongFriday,10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue well mine sure aren't anything to write home about!,10,AM,Friday,Weekday,Short
positive,Delta,This is so smart it makes me angry MT @JetBlue: We’ve partnered with @WSJ to bring you free digital access onboard! http://t.co/0LiwEcAsOe,10,AM,Friday,Weekday,Long
positive,Delta,@JetBlue OOH! Good one! Speaking of #MiAmore - Just know that #IAdore https://t.co/fWZClBvuG4 Loving #LoveSongFriday,10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue well I'm not sure I'm that bold! lol or are you saying you didn't believe me?? :P,10,AM,Friday,Weekday,Short
positive,Delta,@JetBlue i love this song &lt;3 thanks @JetBlue,10,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue Let's just say #IDontWannaLiveWithoutYourLove https://t.co/i9KCgaxxFa #ItWasMintToBe #BestInClassSocial #ThankYou #Travel #Business,10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Digital Journal http://t.co/ucF0B0bQ8r,10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue I did.... Would be nice to see more services out of @triflight instead of having to drive 3-4 hrs to like charlotte or atlanta,10,AM,Friday,Weekday,Long
positive,Delta,@JetBlue currently dancing in the terminal. love Stevie!,10,AM,Friday,Weekday,Short
positive,Delta,@JetBlue thank you for being jetblue and not jetgreen or jetred. blue is my favorite color! and jet blue makes it better :),10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue We already won the tickets but she's totally on a beach right now. #flightlanding #sunscreen #feelsgood http://t.co/5PvG2hJXKp,10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue will you please start offering more routes out of @triflight to more locations,10,AM,Friday,Weekday,Short
positive,Delta,"chair #selfie ""@JetBlue: @StacyCrossB6 @PHLAirport @SaharaSams  Everyone looks #FLAWLESS ;) We're so PROUD of our PHL crew! #BlueHeros”",10,AM,Friday,Weekday,Long
positive,Delta,@JetBlue @WSJ #JETBLUE treated me right as a #disabledtraveler thanks for a no hassle flight to @jamaica,10,AM,Friday,Weekday,Long
negative,Delta,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Ur60Un86gy,10,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me,9,AM,Friday,Weekday,Long
positive,Delta,@JetBlue flight booked! Heading out to California with the @WikiPearl team for  @NatProdExpo on March 6-8! Can't wait! #ExpoWest,9,AM,Friday,Weekday,Long
positive,Delta,@JetBlue totally would have.... but the outside view was even more camera ready haha #EvenMoreSpace #EvenMoreView http://t.co/dXuX6DBfd3,9,AM,Friday,Weekday,Long
negative,Delta,@JetBlue dont really know what that means but this isnt the best first-time-flying-w-a-16mo old experience. likelihood of addtl delays 2nt?,9,AM,Friday,Weekday,Long
positive,Delta,@JetBlue sent :-) curious to see what kind of comp we get.,9,AM,Friday,Weekday,Short
positive,Delta,@JetBlue I can't wait to hear back from you regarding the internship opportunity! 😊,9,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue why don't you fly to #nashville? :(,9,AM,Friday,Weekday,Short
negative,Delta,"@JetBlue I ❤️ Jetblue but i was on flt 277 from fll to sfo. tke off was over 1 hr Late Flight, div to phx &amp; got in 2 hrs Late Flight. What will be done?",9,AM,Friday,Weekday,Long
negative,Delta,@JetBlue sis and 16 month old nephew are. Last nights flight and this am mega delayed. Now this evening's is starting w delays. Why?,9,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Challenge accepted. First 5 crew members to send pics in the chairs get FREE tickets to visit us. #wager #IsItSummerYet,9,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue what's a good address to send feedback over email?,9,AM,Friday,Weekday,Short
positive,Delta,@JetBlue Thanks for the $100 credit because of the 4hr delay. I can tell customer service means a lot to YOU #Thankful,9,AM,Friday,Weekday,Long
negative,Delta,@JetBlue what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,9,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue I did. They said not as of now. Let's cross fingers it happens before departing,8,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue's CEO battles to appease passengers and Wall Street - Lake Wylie #Pilot http://t.co/jgor0vdI3S,8,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue OK cool.  I need to listen to some Dre and Snoop en route to LA.  That would have been a shame.,8,AM,Friday,Weekday,Long
negative,Delta,"@JetBlue basically stole my glasses, and now I can't drive or see in my classes and they're not answering my phone calls. #thanksJetBlue",8,AM,Friday,Weekday,Long
positive,Delta,@JetBlue thank you for always have the most amazing customer service! Bring on The Disney Princess Half Marathon,8,AM,Friday,Weekday,Long
negative,Delta,"@JetBlue we've been delayed for almost 2 hrs. I take JetBlue because I've had good luck, but today is really frustrating.",8,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/D1eRGPdWsJ,8,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue trivia contest to win flight. 1 question. RT and Follow &amp; I'll send you answer to enter. http://t.co/AucSYKFUHD via @WSJPlus,8,AM,Friday,Weekday,Long
positive,Delta,@JetBlue I definitely will. Thanks!,8,AM,Friday,Weekday,Short
positive,Delta,@JetBlue I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX https://t.co/kdHRUF54sW,8,AM,Friday,Weekday,Short
negative,Delta,@JetBlue something they're not telling us (2),8,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue that's what we've been told however how would this work if you're going overseas? Bottom line is passengers feel as if there's (1),8,AM,Friday,Weekday,Long
negative,Delta,@JetBlue we've been on the runway for over an hour. Now the water pressure is low and taxiing back for maintenance. #1572,8,AM,Friday,Weekday,Long
negative,Delta,@JetBlue thanks for the heads up about the 2 hour delay #sarcasm #patienceiswearingthin #woof,8,AM,Friday,Weekday,Short
positive,Delta,@JetBlue Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,8,AM,Friday,Weekday,Long
negative,Delta,"@jetblue when i sign in into TrueBlue, why do I have to do it twice? happens to everyone around me",8,AM,Friday,Weekday,Short
negative,Delta,@JetBlue mechanical failure isn't Boston' fault.,8,AM,Friday,Weekday,Short
positive,Delta,@JetBlue Oh that totally looks on par with @AmericanAir's Admirals Club; any way you can slide us a couple passes? ;),7,AM,Friday,Weekday,Long
negative,Delta,@JetBlue 290 to Boston,7,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue thanks bae,7,AM,Friday,Weekday,Short
negative,Delta,@JetBlue I’m going to miss a hugely important meeting because of your constant delays #itscostingmeincome,7,AM,Friday,Weekday,Long
positive,Delta,@JetBlue gr8 #Mint crew on #flight 123 to #LAX they're #Mintalicious #TrueBlueLove #ShelleyandMarcRock #travel #air,7,AM,Friday,Weekday,Long
positive,Delta,"@JetBlue Thanks for offering this service, guys! http://t.co/xDjzkC34GB",7,AM,Friday,Weekday,Short
negative,Delta,@JetBlue when your flights delayed :)))&gt;&gt;&gt;,7,AM,Friday,Weekday,Short
positive,Delta,"@JetBlue what can I say, I'm #LostinLove w/our #brandmance https://t.co/Bzwgp7aDVE #wemosaictogether #Mint #Love",7,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue should I be nervous about a Sunday AM flight Baltimore to Boston? Any suggestions on what I can do? Need to be in Boston by Monday.,7,AM,Friday,Weekday,Long
positive,Delta,@JetBlue you guys rock!! http://t.co/LA397zaoAY,7,AM,Friday,Weekday,Short
positive,Delta,"That would be great! I never thought I'd be the sort who'd be into them, but it really makes the flying experience more bearable @JetBlue",7,AM,Friday,Weekday,Long
negative,Delta,@JetBlue sorry to report we are stuck on Tarmac.. Being held so #notwheelsup,7,AM,Friday,Weekday,Short
positive,Delta,@JetBlue thanks to the gent on the phone who fixed my BOS-MCO flight and the fee waiver! A320 now :) #flyfi ! I forget her name :(,7,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Airways Hits New 52-Week High at $17.58 (JBLU) - sleekmoney http://t.co/zdKXn4kTOu,7,AM,Friday,Weekday,Short
negative,Delta,"I was a bit steamed in conjunction w/my new 7-hour wait at first, but having sat down and bought a bit of tea, I've settled some @JetBlue",7,AM,Friday,Weekday,Long
positive,Delta,"Thanks! Hope I don't look like a complainer, I've written of good experiences w/you in the past and am making do in terminal 5 :) @JetBlue",7,AM,Friday,Weekday,Long
neutral,Delta,"@jetblue We'd love to help Shanese Bryant-Melton, a hard-working grandmother from DC, go to Miami. It's on her bucket list. #flyitforward",7,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Just signed up for TrueBlue and booked a flight but keep getting an error when I try to link it to my TB account. What's the deal?,7,AM,Friday,Weekday,Long
positive,Delta,@JetBlue Success! Good work JetBlue team,6,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue I hope so. The plane does appear to be leaving a nearby terminal for our gate.,6,AM,Friday,Weekday,Short
positive,Delta,@JetBlue great flight! Great view! :-) http://t.co/Yxn00pnOav,6,AM,Friday,Weekday,Short
positive,Delta,@JetBlue beautiful ride. Thanks again:),6,AM,Friday,Weekday,Short
positive,Delta,@JetBlue perfect! Probably need some coffee to stay awake during the night ;),6,AM,Friday,Weekday,Short
negative,Delta,"@JetBlue appreciate what you've done on your end to make this right, but still unhappy with initial incident. Will be calling.",6,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Of7PFvQpOY,6,AM,Friday,Weekday,Long
negative,Delta,"Lines may be extra long or security slow, but seems your employees too quick to blame customers who don't arrive 3-4 hours ahead @JetBlue",6,AM,Friday,Weekday,Long
positive,Delta,Then you better #HoldOn - #EverythingsGonnaBeAlright @jetblue 4 our #brandloveaffair https://t.co/64kN6GEEP8 #TrueBlueLove #travel #business,6,AM,Friday,Weekday,Long
negative,Delta,"@JetBlue This is the error message: Paper tickets cannot be serviced on-line.
Please see a JetBlue Crewmember for assistance.",6,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue are there any food places open at the JFK T5 24//?,6,AM,Friday,Weekday,Short
negative,Delta,@JetBlue CCNDJP/ I can send a screen shot of the systems error if an email address is provided,6,AM,Friday,Weekday,Short
negative,Delta,"@JetBlue Inconvenience is an understatement. More like torture. Clearly going down the wrong path, JetBlue.",6,AM,Friday,Weekday,Long
negative,Delta,"@JetBlue don't just cling on to the safety card. It safety was really an issue, then flight would have landed immediately. .",6,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue no. Did not catch his name. I am sure Jason will know.,6,AM,Friday,Weekday,Short
negative,Delta,@JetBlue I waited in line all that time to be told by a crewmember that there's no update until 9:30 #3HrDelay #disappointed,5,AM,Friday,Weekday,Long
negative,Delta,@JetBlue   Phone agents can't see same flights I see online???  Can't change tickets even when I am paying. Very frustrating #jetblue,5,AM,Friday,Weekday,Long
negative,Delta,@JetBlue Why was flight 669 forced to return to NY when there was a malfunction? Why not land in the countless air strips surrounding Chi?,5,AM,Friday,Weekday,Long
positive,Delta,@JetBlue haha no need to apologize 😁 I'll be Flight Booking Problems sooner than Late Flightr. I love JetBlue,5,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Oh I will. #Disney bound. #workhard #playsoon,5,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue's CEO battles to appease passengers and Wall Street - @TheVDT http://t.co/VD0tLomtwu,5,AM,Friday,Weekday,Short
negative,Delta,@JetBlue Denver-Boston 2/10 flight 994  and Boston-Denver 2/15 flight 493 (both planes!) visible snack crumbs on seats on all upon boarding,5,AM,Friday,Weekday,Long
negative,Delta,"@JetBlue Felt a bit like they were adding insult to injury, since we'll be in terminal 5 for seven hours until the next flight :/",5,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue you guys get rid of the hip hop stations on Sirius XM?,5,AM,Friday,Weekday,Short
negative,Delta,@JetBlue I knew the 3-4 hours sounded odd; missed a flight we hit JFK an hour early for and your gate  attendant told us 3-4 :(,5,AM,Friday,Weekday,Long
negative,Delta,@JetBlue Well being on time is not going to happen now. Safety does come 1at. Looks like I'll have 2 look 4 another flight now #1stTimeFlyer,5,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Airways to continue 'various commercial relationships' with #Lufthansa ... - @CAPA_Aviation http://t.co/o5sifHp4RT,5,AM,Friday,Weekday,Long
negative,Delta,@JetBlue U said 15mins to Take Off and now we were told 1hr more delay &amp; possible Cancelled Flightlation. How do U plan to rectify this? #Frustrated,5,AM,Friday,Weekday,Long
positive,Delta,@JetBlue can't wait! I'll be the one who can't contain herself. 😄,4,AM,Friday,Weekday,Short
negative,Delta,@JetBlue I hope so. Wanted an early flight to avoid the airport chaos but it's too Late Flight for that!,4,AM,Friday,Weekday,Long
positive,Delta,@JetBlue Big thanks to Ricardo Olavarria at Reagan Airport. Fixed our ticket and made sure we made it for our friend's wedding #greatservice,4,AM,Friday,Weekday,Long
positive,Delta,@JetBlue Really!? That's good to hear! Thanks for the update @walls29 We may make that business meeting after all.,4,AM,Friday,Weekday,Long
neutral,Delta,"@JetBlue Spent most of the winter in NNY with Mom,  JetBlue will take me home to FL via BOS on Mon. Miss hubby, kitties, warm #countingdown",4,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Hey any chance you have an update on Flight 99 Hartford to D.C.?,4,AM,Friday,Weekday,Short
negative,Delta,@JetBlue no updates on anything! All we know is there is an issue with the front wheels being locked.,4,AM,Friday,Weekday,Long
negative,Delta,"@JetBlue flight 99 to DCA 2 delays, I'm all for erring on the side of safety but it's an inconvenience to people with connecting flights!!",4,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Broadway World http://t.co/dS22ceeEnj,4,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue it's time for our #brandmance 2 go #UpWhereWeBelong https://t.co/KtAWbiUUro,3,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Broadway World http://t.co/AsYqE1tDjp,3,AM,Friday,Weekday,Long
positive,Delta,@JetBlue PDX to JFK was suuuuper HOT.,3,AM,Friday,Weekday,Short
neutral,Delta,"@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/zSdGzyDNDe",3,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue Is it June yet? 😊,2,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue Airways Hits New 12-Month High at $17.58 (JBLU) - WKRB News http://t.co/XvBjCzlMDA,2,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue ETA for flight 802 into Orlando this morning,1,AM,Friday,Weekday,Short
neutral,Delta,"@JetBlue using A321 JFK-SEA for Summer 2015. It will be my first A321 flight ever! No Mint to Seattle, Core Config only.",1,AM,Friday,Weekday,Long
neutral,Delta,@JetBlue how much for a trip to a warm island @SamChampion http://t.co/N3SUIip0VW,1,AM,Friday,Weekday,Short
neutral,Delta,@JetBlue Has DC Thinking About Summer With New Nantucket Service - @MarketWatch http://t.co/yI4wGUk5tr,0,AM,Friday,Weekday,Long
negative,Delta,@JetBlue it's ok. Things happen. Just very frustrated when you have to change your schedule. See you tomorrow for a new rescheduled flight.,23,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue I had a SJC to JFK departing 10:55pm tonight. I have to now change my whole schedule. Can we get a sort of refund for this?,23,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue your airline should have a better system to Inform your clients when their flights are Cancelled Flightled last min. 😒👺 we have schedules too,23,PM,Thursday,Weekday,Long
neutral,Delta,"@jetblue Havana, Cuba - To share my love of photography and leave pictures behind, as well as to deliver much-needed items. #flyingitforward",23,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue the slowest boarding process I've ever experienced and rude customer service agents.,23,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue needs to get its act together in #PHX,23,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue @cflanagian she's on to something,22,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Nassau News Live http://t.co/7E5bxwG16t,22,PM,Thursday,Weekday,Long
positive,Delta,"@JetBlue Love you, bae. #JetBae",22,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue probably not anymore.,21,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue - I look forward to getting this resolved. I will be in touch.,21,PM,Thursday,Weekday,Short
negative,Delta,"@JetBlue - Yes. Best case scenario I get my gear Late Flight Friday, early Saturday. Camp starts at 6AM tomorrow #toolittletooLate Flight",21,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue - In CA for the weekend to attend a training camp; thanks for sending all my gear to FL; looks like this trip is a waste #nothappy,21,PM,Thursday,Weekday,Long
neutral,Delta,@JetBlue yup! He said there would be flight change fee. But the plane should be here in 45 minutes apparently.,21,PM,Thursday,Weekday,Long
neutral,Delta,@JetBlue 108 to Portland Maine,21,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue why are you making me stay in JFK until 2 am or Late Flightr? Just let me rebook without making me pay more,21,PM,Thursday,Weekday,Long
positive,Delta,@JetBlue You definitely will!,21,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue and stranded passengers aren't being helped to get another flight?,21,PM,Thursday,Weekday,Short
positive,Delta,@JetBlue you don't remember our date Monday night back to NYC? #heartbroken,21,PM,Thursday,Weekday,Short
positive,Delta,@JetBlue ugh always know a way to my heart 😘🙌,21,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Digital Journal http://t.co/2Nzh3QOaZo,21,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue why did you just Cancelled Flight flight 670 last minute?!?,21,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue I'm sitting on the plane. Too many predictable mechanical problems.  Still onboard. This is getting bad...,21,PM,Thursday,Weekday,Long
neutral,Delta,@JetBlue thanks for the help,21,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue on your 1503 flight JFK to PR. They got the doors open on this frigid temperature. #icyflight,20,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue #poorservice #poorcommunication #waitingsince 10:51 for bags frm flight 424!!! #jetblue,20,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue bags hv been posted on board for flight424 on carsl 4. Now switched to carsl 5. It's comedic watching passengers run frm 1 to othr,20,PM,Thursday,Weekday,Long
negative,Delta,"@JetBlue the one man in baggage office says ""I dunno"". HELP",20,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue where is our luggage?? Flight 424 has been waiting an hour for bags! #jetblue #poorservice,20,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue what is going on? We arrived at 10:51pm Not One Bag Has Been Unloaded!! Flight 424,20,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue service for baggage at JFK is incomprehensible. No employee knows where our luggage is frM flight 424 LAX to NYC ITS AN HR WAIT NOW,20,PM,Thursday,Weekday,Long
positive,Delta,@JetBlue Thank you guys! Brilliant customer service,20,PM,Thursday,Weekday,Short
negative,Delta,"@JetBlue yes of course, before I left the airport. I kept looking but claim is still open.",20,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue #669 stewardesses can't work w/o a galley light! Back to NYC to change a light. #fromthefrontseat #jetblueBlues @anku @yaffasolin,20,PM,Thursday,Weekday,Long
positive,Delta,"@JetBlue Great Thank you, lets hope so! Could you please notify me if flight 2302 leaves JFK? Thank you again",20,PM,Thursday,Weekday,Long
neutral,Delta,"@JetBlue #flyingitforward Pereira, Colombia to help the kids from Cartago streets and deliver a lot of clothes that I have picked to donate.",20,PM,Thursday,Weekday,Long
positive,Delta,@JetBlue that is great. But once it gets to Buffalo will it be able to leave and get to JFK? Or there's issues still at Buffalo airport?,20,PM,Thursday,Weekday,Long
neutral,Delta,"@JetBlue sorry for my misunderstanding of the term, but what does that exactly mean?",20,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue why do you have every channel but @ABCNetwork How are @kgonzales89 and I supposed to watch Scandal? But free FlyFi is sweet!,20,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue I left my apt 10hrs ago to go from Boston to SJC and I'm still NYC. Please bring back the nonstop flight. #jetblueBlues,20,PM,Thursday,Weekday,Long
negative,Delta,@JetBlue What is going on with the flight from Buffalo to JFK? Have they figured anything out about the temperature and the tower yet?,20,PM,Thursday,Weekday,Long
negative,Delta,@jetblue we never received that $15 credit for inoperable tv's on our SFO &gt; JFK flight 2 weeks ago. never got an email...,20,PM,Thursday,Weekday,Long
positive,Delta,"@JetBlue, was far less painful than what was coming from Avis.  💙",20,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue thanks so I'll like to get the new tail N598JB N615JB Boston red Sox livery so I can share with talk but send them only on weekends,20,PM,Thursday,Weekday,Long
neutral,Delta,@JetBlue look what I capture at Uvf http://t.co/Lj2ZXZN8kG,19,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue I'm so ready to see N598JB n N775JB on my Island but on a weekend to capture it,19,PM,Thursday,Weekday,Short
positive,Delta,@JetBlue my flight attendant Angel was awesome. #415 #kudos,19,PM,Thursday,Weekday,Short
neutral,Delta,@JetBlue Washington DC (:,19,PM,Thursday,Weekday,Short
positive,Delta,@JetBlue thank you #loyalmosaicmember,19,PM,Thursday,Weekday,Short
negative,Delta,@JetBlue the pilot just stated that after 22 years of flying he has never experienced anything like this. #gettingoffplane,19,PM,Thursday,Weekday,Long
